Matrix Size, Serial Time, Parallel (8 Threads)
100, 0, 0.000158, 0.000133
500, 0, 0.000821, 0.000852
1000, 0, 0.003018, 0.002114
2000, 0, 0.011276, 0.009061
3000, 0, 0.027022, 0.021353
4000, 0, 0.046247, 0.035307
6000, 0, 0.104566, 0.080016
7000, 0, 0.128411, 0.096875
8000, 0, 0.166111, 0.126372
9000, 0, 0.210053, 0.160170
10000, 0, 0.259570, 0.197126
100, 1, 0.000019, 0.000022
500, 1, 0.000669, 0.000498
1000, 1, 0.002660, 0.002028
2000, 1, 0.010786, 0.008091
3000, 1, 0.023339, 0.017729
4000, 1, 0.041584, 0.031534
6000, 1, 0.093709, 0.071014
7000, 1, 0.129085, 0.096798
8000, 1, 0.166298, 0.125936
9000, 1, 0.210421, 0.160056
10000, 1, 0.259668, 0.196965
100, 2, 0.000019, 0.000092
500, 2, 0.000659, 0.000253
1000, 2, 0.002682, 0.001085
2000, 2, 0.010793, 0.004349
3000, 2, 0.023327, 0.009840
4000, 2, 0.041435, 0.017451
6000, 2, 0.093632, 0.039256
7000, 2, 0.126575, 0.053431
8000, 2, 0.165856, 0.069780
9000, 2, 0.210668, 0.088502
10000, 2, 0.259624, 0.109704
100, 3, 0.000020, 0.000122
500, 3, 0.000675, 0.000176
1000, 3, 0.002660, 0.000747
2000, 3, 0.010815, 0.003189
3000, 3, 0.023330, 0.007771
4000, 3, 0.041595, 0.014779
6000, 3, 0.093365, 0.034008
7000, 3, 0.126855, 0.047048
8000, 3, 0.165828, 0.061206
9000, 3, 0.210592, 0.076871
10000, 3, 0.258782, 0.096641
100, 4, 0.000019, 0.000118
500, 4, 0.000692, 0.000136
1000, 4, 0.002648, 0.000576
2000, 4, 0.010808, 0.002890
3000, 4, 0.023398, 0.007937
4000, 4, 0.041563, 0.014698
6000, 4, 0.093454, 0.033952
7000, 4, 0.127899, 0.046412
8000, 4, 0.166271, 0.060907
9000, 4, 0.211371, 0.077321
10000, 4, 0.260184, 0.095564
100, 5, 0.000019, 0.000099
500, 5, 0.000695, 0.000110
1000, 5, 0.002652, 0.000476
2000, 5, 0.010884, 0.002962
3000, 5, 0.023446, 0.007863
4000, 5, 0.041473, 0.014597
6000, 5, 0.093572, 0.033551
7000, 5, 0.127219, 0.046096
