Matrix Size, Serial Time, Parallel (8 Threads), Parallel (16 Threads)
100, 0, 0.000160, 0.000134
500, 0, 0.000648, 0.000479
1000, 0, 0.002811, 0.001968
2000, 0, 0.010571, 0.007993
3000, 0, 0.023367, 0.017620
4000, 0, 0.041641, 0.031423
6000, 0, 0.093179, 0.071049
7000, 0, 0.127754, 0.097649
8000, 0, 0.166314, 0.125724
9000, 0, 0.217451, 0.171766
10000, 0, 0.261238, 0.198181
12000, 0, 0.376630, 0.286844
14000, 0, 0.513293, 0.388080
16000, 0, 0.664458, 0.503325
18000, 0, 0.840523, 0.636546
20000, 0, 1.042549, 0.794718
22000, 0, 1.256918, 0.949756
24000, 0, 1.494944, 1.130823
28000, 0, 2.035187, 1.539608
30000, 0, 2.337611, 1.765616
100, 1, 0.000019, 0.000023
500, 1, 0.000667, 0.000483
1000, 1, 0.002683, 0.001958
2000, 1, 0.010714, 0.008035
3000, 1, 0.023346, 0.017637
4000, 1, 0.041492, 0.031417
6000, 1, 0.093359, 0.070702
7000, 1, 0.126999, 0.096451
8000, 1, 0.165870, 0.125606
9000, 1, 0.210144, 0.159022
10000, 1, 0.259381, 0.196508
12000, 1, 0.373675, 0.282868
14000, 1, 0.508425, 0.384402
16000, 1, 0.663786, 0.502434
18000, 1, 0.840610, 0.636762
20000, 1, 1.038095, 0.784741
22000, 1, 1.256403, 0.949648
24000, 1, 1.494627, 1.130057
28000, 1, 2.035065, 1.539271
30000, 1, 2.334252, 1.767030
100, 2, 0.000020, 0.000100
500, 2, 0.000671, 0.000250
1000, 2, 0.002631, 0.001070
2000, 2, 0.010729, 0.004296
3000, 2, 0.023448, 0.009639
4000, 2, 0.041475, 0.017263
6000, 2, 0.093136, 0.038732
7000, 2, 0.126977, 0.053009
8000, 2, 0.165714, 0.068638
9000, 2, 0.209801, 0.090089
10000, 2, 0.259187, 0.107551
12000, 2, 0.373547, 0.155303
14000, 2, 0.508246, 0.211212
16000, 2, 0.663534, 0.275682
18000, 2, 0.840006, 0.349158
20000, 2, 1.037859, 0.431274
22000, 2, 1.257779, 0.522695
24000, 2, 1.496122, 0.619786
28000, 2, 2.038090, 0.850100
30000, 2, 2.338969, 0.976446
100, 3, 0.000019, 0.000133
500, 3, 0.000694, 0.000176
1000, 3, 0.002707, 0.000763
2000, 3, 0.010977, 0.003141
3000, 3, 0.023864, 0.007696
4000, 3, 0.041668, 0.014472
6000, 3, 0.093348, 0.033917
7000, 3, 0.127007, 0.046070
8000, 3, 0.165840, 0.060351
9000, 3, 0.210160, 0.076670
10000, 3, 0.259310, 0.094328
12000, 3, 0.373686, 0.136066
14000, 3, 0.509015, 0.185419
16000, 3, 0.663997, 0.243330
18000, 3, 0.840751, 0.308339
20000, 3, 1.037795, 0.378495
22000, 3, 1.256034, 0.460734
24000, 3, 1.494495, 0.545322
28000, 3, 2.035057, 0.745062
30000, 3, 2.336425, 0.850973
100, 4, 0.000019, 0.000153
500, 4, 0.000700, 0.000134
1000, 4, 0.002674, 0.000610
2000, 4, 0.010741, 0.002831
3000, 4, 0.024571, 0.008463
4000, 4, 0.041730, 0.014541
6000, 4, 0.094133, 0.034037
7000, 4, 0.126911, 0.046096
8000, 4, 0.165927, 0.060326
9000, 4, 0.210013, 0.076367
10000, 4, 0.259869, 0.094373
12000, 4, 0.373490, 0.134457
14000, 4, 0.508148, 0.184284
16000, 4, 0.664557, 0.238665
18000, 4, 0.840018, 0.305340
20000, 4, 1.036698, 0.374688
22000, 4, 1.256057, 0.459028
24000, 4, 1.494488, 0.534128
28000, 4, 2.035049, 0.729594
30000, 4, 2.335495, 0.842113
100, 5, 0.000019, 0.000150
500, 5, 0.000698, 0.000107
1000, 5, 0.002662, 0.000496
2000, 5, 0.010759, 0.002942
3000, 5, 0.023385, 0.007732
4000, 5, 0.041468, 0.014394
6000, 5, 0.093311, 0.033082
7000, 5, 0.126945, 0.045371
8000, 5, 0.166040, 0.059939
9000, 5, 0.209979, 0.075406
10000, 5, 0.259339, 0.093250
12000, 5, 0.373631, 0.135299
14000, 5, 0.508982, 0.184120
16000, 5, 0.664351, 0.240955
18000, 5, 0.841179, 0.303361
20000, 5, 1.037701, 0.373753
22000, 5, 1.256601, 0.455016
24000, 5, 1.495579, 0.542427
28000, 5, 2.035117, 0.735871
30000, 5, 2.336016, 0.844970
100, 6, 0.000019, 0.000154
500, 6, 0.000724, 0.000090
1000, 6, 0.002709, 0.000436
2000, 6, 0.010962, 0.002975
3000, 6, 0.023874, 0.007813
4000, 6, 0.042402, 0.014508
6000, 6, 0.095338, 0.033589
7000, 6, 0.126951, 0.045927
8000, 6, 0.165758, 0.059924
9000, 6, 0.209963, 0.076205
10000, 6, 0.259428, 0.093866
12000, 6, 0.373416, 0.134342
14000, 6, 0.508917, 0.183030
16000, 6, 0.665204, 0.241256
18000, 6, 0.840419, 0.306063
20000, 6, 1.038663, 0.377679
22000, 6, 1.270299, 0.458236
24000, 6, 1.499640, 0.542111
28000, 6, 2.035348, 0.734036
30000, 6, 2.336504, 0.840156
100, 7, 0.000019, 0.000151
500, 7, 0.000712, 0.000080
1000, 7, 0.002662, 0.000386
2000, 7, 0.010749, 0.003058
3000, 7, 0.023428, 0.007918
4000, 7, 0.041610, 0.014673
6000, 7, 0.093315, 0.033574
7000, 7, 0.126957, 0.045969
8000, 7, 0.166052, 0.060026
9000, 7, 0.210017, 0.076261
10000, 7, 0.259629, 0.094219
12000, 7, 0.373355, 0.137404
14000, 7, 0.508228, 0.187999
16000, 7, 0.663666, 0.244026
18000, 7, 0.840390, 0.309734
20000, 7, 1.037937, 0.381792
22000, 7, 1.255508, 0.463019
24000, 7, 1.495227, 0.543713
28000, 7, 2.037525, 0.737877
30000, 7, 2.338961, 0.846345
100, 8, 0.000020, 0.000148
500, 8, 0.000716, 0.000070
1000, 8, 0.002668, 0.000343
2000, 8, 0.010753, 0.003157
3000, 8, 0.023489, 0.008312
4000, 8, 0.041548, 0.015191
6000, 8, 0.093308, 0.034765
7000, 8, 0.127027, 0.047136
8000, 8, 0.165948, 0.061955
9000, 8, 0.210051, 0.078173
10000, 8, 0.259519, 0.096780
12000, 8, 0.373633, 0.137093
14000, 8, 0.508703, 0.185993
16000, 8, 0.664871, 0.243060
18000, 8, 0.840790, 0.307742
20000, 8, 1.037335, 0.380021
22000, 8, 1.256394, 0.461209
24000, 8, 1.493174, 0.559495
28000, 8, 2.037854, 0.752791
30000, 8, 2.366760, 0.972682
100, 9, 0.000019, 0.000157
500, 9, 0.000899, 0.000113
1000, 9, 0.002778, 0.000520
2000, 9, 0.011976, 0.003866
3000, 9, 0.024791, 0.011088
4000, 9, 0.044132, 0.018545
6000, 9, 0.098999, 0.040939
7000, 9, 0.132930, 0.054128
8000, 9, 0.171164, 0.070666
9000, 9, 0.211482, 0.087080
10000, 9, 0.258496, 0.103525
12000, 9, 0.377942, 0.150760
14000, 9, 0.524726, 0.204301
16000, 9, 0.664009, 0.267988
18000, 9, 0.861553, 0.348635
20000, 9, 1.039285, 0.426791
22000, 9, 1.254829, 0.514720
24000, 9, 1.496218, 0.599254
28000, 9, 2.033451, 0.805897
30000, 9, 2.337415, 0.921200
100, 10, 0.000019, 0.000165
500, 10, 0.000896, 0.000102
1000, 10, 0.002662, 0.000453
2000, 10, 0.010767, 0.003354
3000, 10, 0.023352, 0.008675
4000, 10, 0.041488, 0.015932
6000, 10, 0.093127, 0.036651
7000, 10, 0.127068, 0.050002
8000, 10, 0.165535, 0.065515
9000, 10, 0.209788, 0.082814
10000, 10, 0.258791, 0.102420
12000, 10, 0.372501, 0.147038
14000, 10, 0.507766, 0.199883
16000, 10, 0.662859, 0.261602
18000, 10, 0.839703, 0.331625
20000, 10, 1.036184, 0.407314
22000, 10, 1.254565, 0.494464
24000, 10, 1.495322, 0.591892
28000, 10, 2.035332, 0.800166
30000, 10, 2.340307, 0.899565
100, 11, 0.000019, 0.000162
500, 11, 0.000717, 0.000093
1000, 11, 0.002667, 0.000456
2000, 11, 0.010766, 0.003465
3000, 11, 0.023368, 0.008559
4000, 11, 0.041549, 0.015583
6000, 11, 0.093349, 0.035776
7000, 11, 0.127132, 0.049148
8000, 11, 0.165813, 0.063719
9000, 11, 0.210282, 0.080590
10000, 11, 0.259926, 0.099459
12000, 11, 0.373821, 0.143044
14000, 11, 0.508928, 0.195069
16000, 11, 0.664848, 0.254431
18000, 11, 0.840463, 0.331335
20000, 11, 1.038576, 0.399328
22000, 11, 1.256978, 0.486881
24000, 11, 1.496635, 0.575672
28000, 11, 2.064016, 0.786518
30000, 11, 2.338215, 0.892103
100, 12, 0.000019, 0.000169
500, 12, 0.000904, 0.000086
1000, 12, 0.002672, 0.000415
2000, 12, 0.010824, 0.003464
3000, 12, 0.023397, 0.008956
4000, 12, 0.041543, 0.016414
6000, 12, 0.093316, 0.037432
7000, 12, 0.127392, 0.051013
8000, 12, 0.166196, 0.067076
9000, 12, 0.209963, 0.084221
10000, 12, 0.259538, 0.100643
12000, 12, 0.374395, 0.144494
14000, 12, 0.509721, 0.201086
16000, 12, 0.665100, 0.262609
18000, 12, 0.844648, 0.339331
20000, 12, 1.056346, 0.409311
22000, 12, 1.273038, 0.503998
24000, 12, 1.480177, 0.607560
28000, 12, 2.017606, 0.784107
30000, 12, 2.399510, 0.930978
100, 13, 0.000019, 0.000153
500, 13, 0.000902, 0.000081
1000, 13, 0.002659, 0.000369
2000, 13, 0.010837, 0.003613
3000, 13, 0.023870, 0.008870
4000, 13, 0.041912, 0.015941
6000, 13, 0.093588, 0.036976
7000, 13, 0.128163, 0.050036
8000, 13, 0.167560, 0.065576
9000, 13, 0.221535, 0.087915
10000, 13, 0.259620, 0.108029
12000, 13, 0.373923, 0.150124
14000, 13, 0.512159, 0.202548
16000, 13, 0.665707, 0.269346
18000, 13, 0.845114, 0.345101
20000, 13, 1.038565, 0.424538
22000, 13, 1.257853, 0.494262
24000, 13, 1.500047, 0.590250
28000, 13, 2.145066, 0.820211
30000, 13, 2.347482, 0.933461
100, 14, 0.000019, 0.000174
500, 14, 0.000901, 0.000078
1000, 14, 0.002662, 0.000384
2000, 14, 0.010776, 0.003579
3000, 14, 0.023441, 0.008984
4000, 14, 0.042020, 0.016498
6000, 14, 0.093252, 0.038607
7000, 14, 0.127467, 0.051503
8000, 14, 0.166979, 0.067523
9000, 14, 0.210254, 0.086648
10000, 14, 0.259532, 0.109996
12000, 14, 0.373379, 0.158143
14000, 14, 0.508514, 0.215787
16000, 14, 0.664143, 0.280798
18000, 14, 0.839891, 0.352621
20000, 14, 1.037498, 0.437442
22000, 14, 1.255549, 0.526840
24000, 14, 1.494460, 0.624400
28000, 14, 2.039199, 0.843516
30000, 14, 2.336927, 0.941429
100, 15, 0.000019, 0.000167
500, 15, 0.000901, 0.000070
1000, 15, 0.002669, 0.000347
2000, 15, 0.010789, 0.003685
3000, 15, 0.023381, 0.009187
4000, 15, 0.041824, 0.016747
6000, 15, 0.093455, 0.038348
7000, 15, 0.127333, 0.052547
8000, 15, 0.166177, 0.068674
9000, 15, 0.210456, 0.090091
10000, 15, 0.259599, 0.108106
12000, 15, 0.373702, 0.160955
14000, 15, 0.509224, 0.210889
16000, 15, 0.664927, 0.274639
18000, 15, 0.841054, 0.345179
20000, 15, 1.038688, 0.425375
22000, 15, 1.257090, 0.534677
24000, 15, 1.494640, 0.642966
28000, 15, 2.062302, 0.850885
30000, 15, 2.327247, 0.957517
